city_development_index,relevent_experience,education_level,experience,last_new_job,target
0.55,1,2.0,0.0,2.0,1
0.804,0,2.0,0.0,0.0,0
0.926,0,2.0,0.0,5.0,0
0.6659999999999999,1,2.0,0.0,1.0,0
0.55,1,2.0,0.0,2.0,1
0.92,1,2.0,0.0,3.0,0
0.92,1,2.0,0.0,1.0,1
0.743,1,2.0,0.0,1.0,0
0.899,1,2.0,0.0,5.0,0
0.926,1,2.0,0.0,1.0,0
0.887,0,2.0,0.0,1.0,0
0.691,1,2.0,0.0,5.0,0
0.897,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,1.0,0
0.926,0,2.0,0.0,4.0,1
0.878,1,2.0,21.0,2.1882634428913237,0
0.769,1,2.0,0.0,1.0,0
0.939,1,2.0,0.0,5.0,0
0.923,0,2.0,0.0,1.0,0
0.682,1,2.0,0.0,2.0,1
0.949,0,2.0,0.0,3.0,0
0.624,1,2.0,0.0,0.0,1
0.924,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,0
0.926,1,2.0,0.0,5.0,0
0.855,0,2.0,0.0,0.0,0
0.91,1,2.0,0.0,5.0,0
0.74,0,2.0,0.0,0.0,0
0.698,0,2.0,0.0,0.0,0
0.624,1,2.0,0.0,1.0,1
0.624,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,2.0,0
0.926,0,2.0,0.0,0.0,0
0.91,0,2.0,0.0,0.0,0
0.926,0,2.0,0.0,1.0,0
0.855,1,2.0,0.0,5.0,0
0.727,1,2.0,0.0,2.0,0
0.7759999999999999,0,2.0,0.0,0.0,1
0.898,1,2.0,0.0,1.0,0
0.895,1,2.0,0.0,5.0,0
0.802,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,1.0,0
0.855,0,2.0,0.0,0.0,0
0.698,1,2.0,0.0,2.0,1
0.92,0,2.0,0.0,1.0,0
0.92,0,2.0,0.0,1.0,0
0.939,0,2.0,0.0,2.0,0
0.92,1,2.0,0.0,1.0,0
0.92,0,2.0,0.0,1.0,0
0.91,1,2.0,0.0,1.0,0
0.949,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,5.0,1
0.939,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,2.0,1
0.91,1,2.0,0.0,2.0,0
0.74,1,2.0,0.0,2.0,0
0.884,1,2.0,0.0,1.0,0
0.698,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,5.0,1
0.493,1,2.0,0.0,1.0,1
0.763,0,2.0,0.0,2.0,0
0.762,1,2.0,0.0,2.0,0
0.91,1,2.0,0.0,3.0,0
0.682,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,4.0,0
0.64,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,5.0,0
0.91,1,2.0,0.0,0.0,0
0.92,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,1.0,1
0.855,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,2.0,0
0.91,1,2.0,0.0,1.0,0
0.926,1,2.0,0.0,5.0,0
0.624,1,2.0,0.0,0.0,1
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,1.0,0
0.555,0,2.0,0.0,0.0,1
0.899,1,2.0,0.0,1.0,0
0.91,1,2.0,0.0,0.0,0
0.624,1,2.0,0.0,2.1882634428913237,1
0.92,1,2.0,0.0,2.0,0
0.878,0,2.0,0.0,3.0,1
0.926,1,2.0,0.0,5.0,0
0.855,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,0
0.579,1,2.0,0.0,2.0,1
0.92,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,1
0.926,0,2.0,0.0,0.0,0
0.926,1,2.0,0.0,1.0,0
0.884,1,2.0,0.0,1.0,0
0.7959999999999999,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,5.0,1
0.887,0,2.0,0.0,1.0,0
0.92,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,5.0,0
0.91,1,2.0,0.0,1.0,0
0.7659999999999999,1,2.0,0.0,5.0,1
0.913,0,2.0,0.0,0.0,0
0.92,0,2.0,0.0,1.0,0
0.92,1,2.0,0.0,5.0,0
0.884,1,2.0,0.0,1.0,0
0.698,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,1
0.92,0,2.0,0.0,0.0,0
0.939,1,2.0,0.0,5.0,0
0.804,1,2.0,0.0,5.0,0
0.91,1,2.0,0.0,2.0,0
0.624,0,2.0,0.0,1.0,0
0.8959999999999999,0,2.0,0.0,1.0,0
0.899,1,2.0,0.0,2.0,0
0.527,1,2.0,0.0,5.0,0
0.6890000000000001,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,0
0.855,1,2.0,0.0,3.0,0
0.897,1,2.0,0.0,1.0,0
0.926,1,2.0,0.0,3.0,1
0.855,1,2.0,0.0,1.0,0
0.897,1,2.0,0.0,2.0,0
0.92,0,2.0,0.0,5.0,0
0.92,1,2.0,0.0,1.0,0
0.624,0,2.0,0.0,1.0,1
0.92,0,2.0,0.0,2.0,1
0.92,0,2.0,0.0,5.0,0
0.92,1,2.0,0.0,2.0,0
0.802,0,2.0,0.0,0.0,1
0.92,1,2.0,0.0,5.0,0
0.91,1,2.0,0.0,0.0,0
0.92,0,2.0,0.0,2.0,0
0.624,1,2.0,0.0,3.0,1
0.91,1,2.0,0.0,1.0,0
0.91,1,2.0,0.0,1.0,1
0.895,1,2.0,0.0,5.0,1
0.847,0,2.0,0.0,0.0,1
0.895,1,2.0,0.0,5.0,0
0.91,1,2.0,0.0,3.0,0
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,4.0,1
0.92,0,2.0,0.0,0.0,1
0.926,1,2.0,0.0,2.0,0
0.924,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,3.0,0
0.92,0,2.0,0.0,2.0,0
0.738,1,2.0,0.0,1.0,0
0.884,0,2.0,0.0,5.0,0
0.92,1,2.0,0.0,2.0,0
0.743,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,0
0.855,1,2.0,0.0,2.0,1
0.624,1,2.0,0.0,0.0,0
0.92,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,1.0,0
0.55,1,2.0,0.0,1.0,1
0.856,0,2.0,0.0,0.0,0
0.767,1,2.0,0.0,2.0,0
0.754,1,2.0,0.0,4.0,0
0.92,0,2.0,0.0,2.0,0
0.92,0,2.0,0.0,1.0,1
0.926,1,2.0,0.0,1.0,0
0.939,0,2.0,0.0,0.0,0
0.893,1,2.0,0.0,2.0,1
0.92,0,2.0,0.0,1.0,0
0.55,1,2.0,0.0,1.0,1
0.91,1,2.0,0.0,4.0,0
0.92,0,2.0,0.0,2.0,0
0.795,1,2.0,0.0,0.0,0
0.682,1,2.0,0.0,5.0,0
0.926,0,2.0,0.0,1.0,0
0.722,1,2.0,0.0,5.0,1
0.698,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,3.0,1
0.847,0,2.0,0.0,5.0,0
0.624,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,2.0,0
0.897,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,2.0,0
0.855,1,2.0,0.0,1.0,0
0.91,1,2.0,0.0,5.0,0
0.802,0,2.0,0.0,1.0,0
0.91,0,2.0,0.0,1.0,0
0.624,1,2.0,0.0,4.0,1
0.624,1,2.0,0.0,0.0,0
0.91,1,2.0,0.0,5.0,0
0.92,0,2.0,0.0,1.0,0
0.91,0,2.0,0.0,0.0,0
0.92,0,2.0,0.0,1.0,0
0.91,1,2.0,0.0,4.0,0
0.92,0,2.0,0.0,4.0,0
0.926,0,2.0,0.0,2.0,0
0.887,0,2.0,0.0,0.0,0
0.624,1,2.0,0.0,1.0,1
0.89,1,2.0,0.0,5.0,0
0.624,0,2.0,0.0,0.0,0
0.92,0,2.0,0.0,1.0,1
0.897,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,1.0,0
0.926,1,2.0,0.0,5.0,0
0.698,0,2.0,0.0,0.0,0
0.939,1,2.0,0.0,5.0,0
0.624,0,2.0,0.0,2.1882634428913237,1
0.624,1,2.0,0.0,2.0,0
0.55,1,2.0,0.0,2.1882634428913237,1
0.91,1,2.0,0.0,5.0,0
0.855,1,2.0,0.0,5.0,0
0.91,1,2.0,0.0,5.0,0
0.91,0,2.0,0.0,1.0,1
0.897,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,0
0.92,0,2.0,0.0,1.0,1
0.698,0,2.0,0.0,2.1882634428913237,0
0.92,0,2.0,0.0,1.0,0
0.68,0,2.0,0.0,2.0,0
0.91,0,2.0,0.0,1.0,0
0.897,1,2.0,0.0,0.0,0
0.8270000000000001,1,2.0,0.0,5.0,0
0.939,1,2.0,0.0,5.0,0
0.55,1,2.0,0.0,5.0,0
0.763,1,2.0,0.0,0.0,0
0.926,0,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,5.0,1
0.92,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,1.0,0
0.698,1,2.0,0.0,5.0,0
0.855,1,2.0,0.0,2.0,0
0.624,0,2.0,0.0,0.0,1
0.804,0,2.0,0.0,0.0,0
0.92,1,2.0,0.0,1.0,0
0.897,1,2.0,0.0,1.0,0
0.5579999999999999,1,2.0,0.0,1.0,1
0.762,0,2.0,0.0,0.0,1
0.926,1,2.0,0.0,3.0,0
0.624,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,4.0,0
0.91,1,2.0,0.0,2.0,0
0.926,1,2.0,0.0,2.0,0
0.55,0,2.0,0.0,1.0,0
0.698,0,2.0,0.0,3.0,0
0.925,1,2.0,0.0,0.0,0
0.91,1,2.0,0.0,3.0,0
0.89,1,2.0,0.0,1.0,0
0.91,1,2.0,0.0,2.0,0
0.91,1,2.0,0.0,2.1882634428913237,0
0.92,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,0
0.843,0,2.0,0.0,0.0,1
0.91,0,2.0,0.0,1.0,1
0.92,1,2.0,0.0,1.0,1
0.855,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,3.0,0
0.897,0,2.0,0.0,1.0,0
0.698,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,1.0,1
0.691,1,2.0,0.0,2.0,0
0.556,1,2.0,0.0,0.0,0
0.855,1,2.0,0.0,1.0,0
0.624,0,2.0,0.0,0.0,0
0.754,1,2.0,0.0,0.0,0
0.92,1,2.0,0.0,3.0,0
0.92,1,2.0,0.0,1.0,0
0.738,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,1
0.91,0,2.0,0.0,0.0,0
0.926,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,2.0,1
0.91,1,2.0,0.0,2.0,1
0.926,0,2.0,0.0,1.0,0
0.92,1,2.0,0.0,4.0,0
0.939,1,2.0,0.0,0.0,0
0.682,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,1.0,1
0.804,0,2.0,0.0,5.0,0
0.6659999999999999,0,2.0,0.0,3.0,0
0.92,1,2.0,0.0,5.0,0
0.926,1,2.0,0.0,1.0,0
0.866,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,0.0,1
0.804,0,2.0,0.0,1.0,1
0.926,1,2.0,0.0,0.0,0
0.924,0,2.0,0.0,1.0,1
0.926,1,2.0,0.0,1.0,0
0.727,0,2.0,0.0,1.0,1
0.89,0,2.0,0.0,0.0,0
0.92,1,2.0,0.0,2.0,0
0.624,1,2.0,0.0,2.0,1
0.895,1,2.0,0.0,4.0,0
0.92,1,2.0,0.0,4.0,0
0.855,1,2.0,0.0,2.0,0
0.926,0,2.0,0.0,1.0,0
0.92,1,2.0,0.0,0.0,0
0.91,1,2.0,0.0,4.0,0
0.624,1,2.0,0.0,1.0,1
0.926,1,2.0,0.0,1.0,0
0.925,1,2.0,0.0,2.0,0
0.624,1,2.0,0.0,1.0,0
0.6659999999999999,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,5.0,0
0.939,0,2.0,0.0,5.0,0
0.579,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,5.0,0
0.926,0,2.0,0.0,2.0,0
0.802,1,2.0,0.0,1.0,0
0.92,0,2.0,0.0,5.0,1
0.754,1,2.0,0.0,4.0,0
0.624,1,2.0,0.0,2.0,1
0.91,0,2.0,0.0,5.0,1
0.91,1,2.0,0.0,2.0,0
0.624,1,2.0,0.0,3.0,1
0.762,1,2.0,0.0,1.0,1
0.7959999999999999,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,0
0.897,0,2.0,0.0,2.0,0
0.624,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,2.0,0
0.926,1,2.0,0.0,2.0,0
0.91,1,2.0,0.0,4.0,0
0.92,1,2.0,0.0,1.0,0
0.893,0,2.0,0.0,1.0,1
0.836,0,2.0,0.0,1.0,1
0.926,0,2.0,0.0,1.0,0
0.855,0,2.0,0.0,2.0,0
0.92,0,2.0,0.0,1.0,1
0.92,1,2.0,0.0,5.0,0
0.884,1,2.0,0.0,2.0,1
0.913,1,2.0,0.0,1.0,0
0.698,0,2.0,4.0,2.1882634428913237,1
0.624,0,2.0,0.0,1.0,0
0.624,1,2.0,0.0,2.1882634428913237,1
0.92,1,2.0,0.0,1.0,0
0.878,0,4.0,0.0,1.0,0
0.92,0,2.0,0.0,1.0,1
0.91,1,2.0,0.0,2.0,0
0.74,1,2.0,0.0,4.0,0
0.92,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,2.0,0
0.92,0,2.0,0.0,2.0,0
0.92,0,2.0,0.0,0.0,0
0.682,1,2.0,0.0,2.0,0
0.843,1,2.0,0.0,4.0,0
0.754,1,2.0,0.0,2.0,1
0.92,0,2.0,0.0,5.0,0
0.92,1,2.0,0.0,2.0,1
0.55,1,2.0,0.0,1.0,0
0.579,0,2.0,0.0,0.0,0
0.579,1,2.0,0.0,4.0,0
0.92,0,2.0,0.0,5.0,1
0.92,1,2.0,0.0,1.0,0
0.897,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,0
0.926,0,2.0,0.0,0.0,0
0.887,0,2.0,0.0,1.0,1
0.91,1,2.0,0.0,5.0,0
0.847,1,2.0,0.0,1.0,0
0.923,1,2.0,0.0,1.0,0
0.836,0,2.0,0.0,0.0,0
0.92,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,2.0,0
0.923,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,5.0,0
0.624,0,2.0,0.0,0.0,1
0.698,0,2.0,0.0,1.0,1
0.925,1,2.0,0.0,1.0,1
0.624,0,2.0,0.0,0.0,1
0.91,1,2.0,0.0,1.0,0
0.855,1,2.0,0.0,1.0,0
0.926,1,2.0,0.0,4.0,0
0.92,1,2.0,0.0,1.0,1
0.624,1,2.0,0.0,5.0,1
0.91,1,2.0,0.0,4.0,0
0.794,1,2.0,0.0,0.0,0
0.55,0,2.0,0.0,0.0,0
0.92,1,2.0,0.0,1.0,0
0.855,0,2.0,0.0,0.0,1
0.92,1,2.0,0.0,5.0,1
0.624,0,2.0,0.0,0.0,1
0.856,1,2.0,0.0,3.0,0
0.92,1,2.0,0.0,2.0,1
0.92,0,2.0,0.0,4.0,1
0.624,1,2.0,0.0,2.0,0
0.804,1,2.0,0.0,5.0,0
0.804,1,2.0,0.0,0.0,1
0.6890000000000001,0,2.0,0.0,0.0,0
0.698,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,1
0.926,1,2.0,0.0,1.0,0
0.915,0,2.0,0.0,1.0,0
0.92,0,2.0,0.0,2.0,0
0.743,1,2.0,0.0,1.0,0
0.7759999999999999,1,2.0,0.0,0.0,0
0.743,0,2.0,0.0,1.0,1
0.92,1,2.0,0.0,5.0,1
0.92,1,2.0,0.0,2.0,1
0.83,1,2.0,0.0,1.0,0
0.884,0,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,0
0.8270000000000001,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,5.0,1
0.92,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,1.0,0
0.855,1,2.0,0.0,2.0,0
0.893,0,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,1
0.68,1,2.0,0.0,1.0,0
0.92,0,2.0,0.0,1.0,0
0.624,0,2.0,0.0,2.0,0
0.624,1,2.0,0.0,5.0,1
0.92,0,2.0,0.0,2.0,0
0.91,1,2.0,0.0,5.0,0
0.887,1,2.0,0.0,2.0,0
0.92,0,2.0,0.0,5.0,0
0.762,0,2.0,0.0,0.0,0
0.91,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,0
0.887,1,2.0,0.0,1.0,0
0.898,1,2.0,0.0,1.0,0
0.893,1,2.0,0.0,1.0,0
0.91,1,2.0,0.0,5.0,0
0.91,1,2.0,0.0,1.0,0
0.91,0,2.0,0.0,0.0,0
0.939,1,2.0,0.0,2.0,0
0.624,1,2.0,0.0,0.0,1
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,1.0,0
0.92,0,2.0,0.0,1.0,1
0.91,1,2.0,0.0,1.0,0
0.754,1,2.0,0.0,5.0,0
0.762,1,2.0,0.0,4.0,0
0.924,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,2.0,0
0.794,0,2.0,0.0,0.0,0
0.92,1,2.0,0.0,2.0,0
0.92,0,2.0,0.0,5.0,1
0.6659999999999999,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,5.0,1
0.92,1,2.0,0.0,5.0,1
0.92,1,2.0,0.0,2.0,0
0.926,0,2.0,0.0,1.0,0
0.923,1,2.0,0.0,3.0,0
0.949,1,2.0,0.0,5.0,1
0.897,1,2.0,0.0,5.0,0
0.855,1,2.0,0.0,2.0,0
0.512,1,2.0,0.0,5.0,0
0.926,1,2.0,0.0,5.0,1
0.92,1,2.0,0.0,2.0,0
0.91,1,2.0,0.0,1.0,0
0.92,0,2.0,0.0,1.0,1
0.855,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,2.0,0
0.527,0,2.0,0.0,1.0,0
0.527,0,2.0,0.0,0.0,0
0.926,0,2.0,0.0,1.0,0
0.895,1,2.0,0.0,3.0,0
0.913,1,2.0,0.0,2.0,0
0.691,1,2.0,0.0,5.0,0
0.624,1,2.0,0.0,1.0,1
0.926,1,2.0,0.0,0.0,0
0.926,0,2.0,0.0,0.0,1
0.878,1,2.0,0.0,3.0,0
0.91,1,2.0,0.0,2.0,0
0.802,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,5.0,0
0.949,1,2.0,0.0,3.0,0
0.836,1,2.0,0.0,1.0,0
0.92,1,2.0,18.0,2.1882634428913237,0
0.926,1,2.0,0.0,3.0,0
0.743,1,2.0,0.0,2.0,0
0.91,0,2.0,0.0,1.0,1
0.8959999999999999,1,2.0,0.0,2.0,0
0.878,0,2.0,0.0,5.0,0
0.92,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,0.0,0
0.92,1,2.0,0.0,5.0,0
0.624,0,2.0,0.0,0.0,1
0.887,0,2.0,0.0,3.0,0
0.92,0,2.0,0.0,2.0,0
0.92,0,2.0,0.0,1.0,0
0.804,1,2.0,0.0,1.0,1
0.624,0,2.0,0.0,0.0,0
0.92,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,5.0,1
0.624,1,2.0,0.0,5.0,1
0.855,1,2.0,0.0,5.0,0
0.6659999999999999,1,2.0,0.0,0.0,0
0.7659999999999999,0,2.0,0.0,1.0,0
0.5579999999999999,0,2.0,0.0,1.0,1
0.92,1,2.0,0.0,1.0,0
0.698,1,2.0,0.0,1.0,0
0.92,0,2.0,0.0,0.0,0
0.92,0,2.0,0.0,1.0,0
0.92,0,2.0,0.0,0.0,0
0.92,1,2.0,0.0,2.0,0
0.698,0,2.0,0.0,0.0,1
0.8959999999999999,0,2.0,0.0,0.0,0
0.924,0,2.0,0.0,1.0,0
0.897,0,2.0,0.0,0.0,0
0.624,1,2.0,0.0,1.0,1
0.64,1,2.0,0.0,1.0,0
0.887,1,2.0,0.0,0.0,0
0.884,0,2.0,0.0,1.0,1
0.92,0,2.0,0.0,1.0,0
0.92,0,2.0,0.0,0.0,1
0.847,1,2.0,0.0,3.0,0
0.91,1,2.0,0.0,5.0,0
0.624,0,2.0,0.0,0.0,1
0.856,0,2.0,0.0,1.0,0
0.92,1,2.0,0.0,2.0,0
0.682,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,4.0,0
0.698,1,2.0,0.0,2.0,0
0.624,1,2.0,0.0,1.0,0
0.926,0,2.0,0.0,0.0,0
0.527,1,2.0,0.0,2.0,1
0.92,0,2.0,0.0,5.0,0
0.92,0,2.0,0.0,0.0,1
0.897,0,2.0,0.0,1.0,0
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,5.0,0
0.624,1,2.0,0.0,1.0,1
0.92,0,2.0,0.0,0.0,1
0.91,1,2.0,0.0,2.0,0
0.92,0,2.0,0.0,0.0,0
0.884,0,2.0,0.0,1.0,0
0.855,1,2.0,0.0,1.0,0
0.884,1,2.0,0.0,5.0,0
0.843,1,2.0,0.0,5.0,0
0.624,1,2.0,0.0,2.0,1
0.754,1,2.0,0.0,4.0,0
0.794,1,2.0,0.0,4.0,0
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,1.0,0
0.878,1,2.0,0.0,5.0,0
0.624,1,2.0,0.0,2.0,1
0.579,0,2.0,0.0,0.0,0
0.855,0,2.0,0.0,5.0,0
0.924,0,2.0,0.0,4.0,0
0.624,1,2.0,0.0,1.0,1
0.895,1,4.0,0.0,5.0,0
0.624,1,2.0,0.0,4.0,1
0.92,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,1.0,1
0.6890000000000001,0,2.0,3.0,2.1882634428913237,1
0.92,0,2.0,0.0,1.0,1
0.92,0,2.0,0.0,1.0,1
0.887,1,2.0,0.0,0.0,1
0.939,1,2.0,0.0,0.0,0
0.804,1,2.0,0.0,1.0,0
0.767,1,2.0,0.0,1.0,0
0.887,1,2.0,0.0,5.0,0
0.924,0,2.0,0.0,2.0,0
0.92,1,2.0,0.0,5.0,1
0.926,0,2.0,0.0,1.0,0
0.926,1,2.0,0.0,5.0,1
0.887,1,2.0,0.0,1.0,0
0.624,1,2.0,0.0,2.0,0
0.899,1,2.0,0.0,1.0,0
0.6659999999999999,1,2.0,0.0,1.0,0
0.8270000000000001,1,2.0,0.0,1.0,0
0.926,1,2.0,0.0,0.0,1
0.92,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,1.0,0
0.527,0,2.0,0.0,0.0,0
0.91,0,2.0,0.0,0.0,0
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,2.1882634428913237,0
0.92,0,2.0,0.0,1.0,0
0.6659999999999999,1,2.0,0.0,0.0,0
0.926,1,2.0,0.0,0.0,0
0.843,0,2.0,0.0,0.0,0
0.893,1,2.0,0.0,1.0,0
0.91,0,2.0,0.0,0.0,0
0.92,1,2.0,0.0,5.0,0
0.6890000000000001,0,2.0,0.0,3.0,0
0.884,1,2.0,0.0,2.0,0
0.516,1,2.0,0.0,1.0,0
0.624,0,2.0,0.0,1.0,1
0.92,1,2.0,0.0,1.0,1
0.624,0,2.0,3.0,2.1882634428913237,1
0.92,1,2.0,0.0,2.0,1
0.92,1,2.0,0.0,4.0,0
0.479,1,2.0,0.0,5.0,0
0.8959999999999999,1,2.0,0.0,5.0,0
0.926,1,2.0,0.0,4.0,0
0.74,1,2.0,0.0,5.0,0
0.939,0,2.0,0.0,0.0,0
0.899,1,2.0,0.0,1.0,0
0.527,1,2.0,0.0,1.0,1
0.91,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,3.0,0
0.91,1,2.0,0.0,4.0,0
0.6659999999999999,0,2.0,0.0,1.0,0
0.897,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,3.0,0
0.624,1,2.0,0.0,1.0,1
0.802,1,2.0,0.0,0.0,0
0.8959999999999999,0,2.0,0.0,0.0,0
0.624,1,2.0,0.0,2.0,1
0.92,0,2.0,0.0,5.0,1
0.878,1,2.0,0.0,5.0,0
0.91,1,2.0,0.0,3.0,0
0.92,0,2.0,0.0,0.0,0
0.804,1,2.0,0.0,1.0,0
0.926,0,2.0,0.0,0.0,0
0.926,1,2.0,0.0,1.0,0
0.924,0,2.0,0.0,0.0,0
0.763,0,2.0,0.0,1.0,0
0.6659999999999999,0,2.0,0.0,0.0,0
0.579,1,2.0,0.0,1.0,0
0.92,0,2.0,0.0,5.0,1
0.924,1,2.0,0.0,1.0,0
0.698,1,2.0,0.0,2.0,0
0.92,0,2.0,0.0,2.0,0
0.92,1,2.0,0.0,1.0,0
0.893,1,2.0,0.0,1.0,0
0.855,1,2.0,0.0,1.0,0
0.855,0,2.0,0.0,3.0,0
0.624,1,2.0,0.0,2.0,1
0.897,1,2.0,0.0,0.0,0
0.624,0,2.0,0.0,1.0,0
0.92,0,2.0,0.0,1.0,1
0.924,0,2.0,0.0,1.0,1
0.698,1,2.0,0.0,5.0,0
0.55,1,2.0,0.0,3.0,1
0.92,0,2.0,0.0,4.0,0
0.913,1,2.0,0.0,5.0,0
0.939,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,1.0,0
0.743,0,2.0,0.0,5.0,0
0.92,0,2.0,0.0,2.0,1
0.8270000000000001,1,2.0,0.0,2.0,0
0.91,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,1.0,0
0.794,1,2.0,0.0,1.0,0
0.91,0,2.0,0.0,2.0,1
0.92,1,2.0,0.0,5.0,0
0.624,1,2.0,0.0,0.0,0
0.698,0,2.0,0.0,1.0,0
0.725,0,2.0,0.0,2.0,1
0.939,1,2.0,0.0,2.0,0
0.92,1,2.0,0.0,5.0,0
0.91,1,2.0,0.0,2.0,0
0.624,1,2.0,0.0,1.0,0
0.92,0,2.0,0.0,0.0,1
0.92,1,2.0,0.0,5.0,0
0.92,1,2.0,0.0,5.0,0
0.884,1,2.0,0.0,5.0,0
0.624,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,2.0,0
0.624,0,2.0,0.0,0.0,0
0.92,1,2.0,0.0,5.0,0
0.843,0,2.0,0.0,0.0,1
0.55,1,2.0,0.0,1.0,1
0.92,1,2.0,0.0,3.0,0
0.893,1,2.0,0.0,5.0,0
0.893,0,2.0,0.0,0.0,0
0.754,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,0
0.698,0,2.0,0.0,5.0,0
0.926,1,2.0,0.0,5.0,0
0.624,1,2.0,0.0,1.0,1
0.939,0,2.0,0.0,1.0,0
0.855,1,2.0,0.0,1.0,0
0.91,0,2.0,0.0,1.0,0
0.887,1,2.0,0.0,1.0,0
0.897,1,2.0,0.0,1.0,0
0.92,1,2.0,0.0,1.0,1
0.897,0,2.0,0.0,1.0,0
0.91,0,2.0,0.0,1.0,0
0.624,0,2.0,0.0,2.0,1
0.624,1,2.0,0.0,1.0,0
0.91,1,2.0,0.0,5.0,0
0.92,0,2.0,0.0,2.0,0
0.92,1,2.0,0.0,2.1882634428913237,0
